userId,movieId,rating
3924,3924,4
8773,8773,5
25449,25449,1
31975,31975,2
2,2,1
3,3,4
5,5,4
6,6,3
8,8,5
9,9,4
11,11,4
12,12,2
13,13,2
14,14,2
15,15,2
16,16,4
17,17,5
18,18,3
19,19,2
20,20,4
21,21,5
22,22,2
24,24,4
25,25,2
26,26,5
27,27,5
28,28,4
33,33,5
35,35,3
38,38,2
55,55,5
58,58,5
59,59,4
62,62,4
63,63,3
64,64,1
65,65,2
66,66,5
67,67,1
68,68,2
69,69,5
70,70,2
71,71,4
73,73,5
74,74,1
75,75,3
76,76,1
77,77,4
78,78,1
79,79,5
80,80,1
81,81,2
82,82,4
83,83,2
85,85,3
86,86,4
87,87,1
88,88,4
89,89,4
90,90,4
91,91,1
92,92,4
93,93,5
94,94,1
95,95,1
96,96,2
97,97,5
98,98,5
99,99,4
100,100,3
101,101,5
102,102,3
103,103,2
104,104,2
105,105,3
106,106,3
107,107,5
108,108,3
109,109,4
110,110,5
111,111,2
112,112,4
113,113,5
114,114,4
115,115,5
116,116,1
117,117,3
118,118,4
120,120,4
121,121,2
122,122,5
123,123,2
124,124,3
125,125,5
126,126,5
127,127,2
128,128,1
129,129,2
132,132,4
133,133,1
134,134,2
135,135,3
136,136,2
137,137,2
138,138,3
139,139,3
140,140,4
141,141,5
142,142,3
143,143,2
144,144,1
145,145,2
146,146,2
147,147,3
148,148,1
149,149,5
150,150,1
152,152,1
153,153,2
154,154,3
155,155,2
156,156,3
157,157,5
158,158,2
159,159,4
160,160,5
161,161,2
162,162,3
163,163,3
164,164,1
165,165,4
166,166,2
167,167,5
168,168,1
169,169,3
170,170,3
171,171,1
172,172,4
173,173,3
174,174,2
175,175,5
176,176,2
177,177,4
178,178,5
179,179,4
180,180,2
182,182,2
183,183,1
184,184,3
185,185,2
186,186,1
187,187,4
189,189,5
190,190,1
191,191,2
192,192,2
193,193,2
194,194,4
195,195,3
196,196,1
197,197,2
198,198,4
199,199,2
200,200,4
201,201,5
203,203,5
204,204,5
205,205,2
206,206,5
207,207,4
211,211,1
212,212,3
213,213,5
214,214,1
215,215,1
216,216,2
217,217,5
218,218,3
219,219,3
220,220,2
221,221,1
222,222,1
223,223,3
224,224,2
225,225,2
226,226,5
227,227,4
228,228,3
229,229,2
231,231,2
232,232,1
233,233,3
234,234,3
235,235,2
236,236,4
237,237,3
238,238,2
239,239,5
240,240,1
241,241,3
242,242,1
243,243,5
244,244,1
245,245,5
246,246,1
247,247,4
248,248,1
249,249,3
250,250,5
251,251,4
252,252,3
253,253,2
254,254,5
255,255,4
256,256,5
257,257,1
258,258,5
259,259,1
260,260,4
261,261,3
262,262,1
265,265,2
266,266,2
267,267,2
268,268,2
269,269,4
270,270,1
271,271,5
272,272,3
273,273,2
274,274,4
275,275,4
276,276,4
277,277,5
278,278,1
279,279,4
280,280,2
281,281,3
284,284,1
285,285,4
286,286,3
287,287,5
288,288,4
289,289,2
290,290,4
291,291,3
292,292,3
293,293,5
294,294,4
296,296,2
297,297,2
298,298,5
299,299,2
300,300,1
301,301,5
302,302,5
303,303,1
306,306,2
307,307,3
308,308,2
309,309,4
310,310,1
311,311,3
